OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Low-Medium_mean	Medium_mean	Trace_mean	High_mean	Trace-Low_mean	Low_mean
k__Bacteria;p__OP11	7.08432382266	0.214444202733	0.548233861083	1.0	8.04285231715e-06	3.28082351419e-05	2.61108419344e-05	0.0	0.0	1.77072029529e-05
k__Bacteria;p__GAL15	6.98382273464	0.221846214809	0.548233861083	1.0	0.0	1.52405370768e-05	5.78498096778e-06	0.0	4.54271858994e-05	9.05870509085e-06
k__Bacteria;p__OP3	6.88595060853	0.229261432817	0.548233861083	1.0	0.000486039852358	0.000728630861743	0.000342136601032	0.00133868808568	0.0010618604704	0.000291754239086
k__Bacteria;p__Nitrospirae	6.57901453385	0.253878375588	0.574284500649	1.0	0.0159292746024	0.0148711428709	0.0130817035215	0.0187416331995	0.0301863650302	0.0187378173204
k__Bacteria;p__FBP	6.4943873331	0.261038409386	0.574284500649	1.0	5.05223418744e-05	0.000202623322808	9.44116432939e-05	0.0	3.40703894246e-05	8.51710493322e-05
k__Archaea;p__Euryarchaeota	6.36191076289	0.272578600852	0.576608578725	1.0	0.0	0.000157810334221	1.92852981358e-05	0.0	0.000335025496008	3.33635948676e-05
k__Bacteria;p__Proteobacteria	6.05865532317	0.300553277237	0.612238157335	1.0	0.282406877515	0.314173450251	0.268169188387	0.327978580991	0.255363247135	0.298131005376
k__Bacteria;p__TM7	5.7498995628	0.331320374282	0.621333327531	1.0	0.000352638333552	0.00024486083103	0.000278493173482	0.00133868808568	0.000119246362986	0.000277485939069
k__Bacteria;p__BRC1	5.69637244476	0.336892887911	0.621333327531	1.0	0.000260330957693	0.00044132071965	0.000361222092773	0.0	0.000158995150648	0.000239655282484
k__Bacteria;p__WS2	5.67717193121	0.338909087744	0.621333327531	1.0	1.60857046343e-05	2.04367603073e-05	2.83726595728e-05	0.0	0.0	1.41910408841e-05
k__Bacteria;p__MVP-21	5.51049075681	0.35679690259	0.633026762659	1.0	3.41130332442e-05	3.00066592959e-05	1.61634411191e-05	0.0	5.67839823743e-06	1.51362842342e-05
k__Bacteria;p__BHI80-139	5.2259765157	0.388928904796	0.643581030001	1.0	4.65009157159e-05	5.39066448414e-05	8.13128064879e-05	0.0	9.65327700362e-05	8.11348386724e-05
k__Bacteria;p__Planctomycetes	5.14859978731	0.398015542245	0.643581030001	1.0	0.0513308642916	0.0532990229857	0.0587654030062	0.0468540829987	0.0740747050072	0.0626181803025
k__Bacteria;p__Bacteroidetes	5.07063688999	0.40732058381	0.643581030001	1.0	0.0684238510141	0.0906868112657	0.0918259115587	0.10843373494	0.0378749162436	0.0832946930323
k__Bacteria;p__ZB3	5.05212850013	0.409551564546	0.643581030001	1.0	0.0	2.0935948559e-06	1.05114218623e-06	0.0	1.13567964749e-05	6.3438368434e-06
k__Bacteria;p__Cyanobacteria	4.77258655323	0.444259716549	0.678730122506	1.0	0.00338059749878	0.00270566438612	0.00292842984379	0.00133868808568	0.000999398089787	0.00283166604678
k__Archaea;p__Crenarchaeota	4.64475954153	0.460751727619	0.684901216731	1.0	0.0109306820058	0.0265108514691	0.0237206802148	0.0160642570281	0.0597310710595	0.0193556674685
k__Bacteria;p__Chloroflexi	4.16230651069	0.526292462349	0.754004499017	1.0	0.0269473083	0.035726241531	0.0326929603551	0.0200803212851	0.0415374831068	0.0337967790899
