	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_193_3.txt	193	3	34.41032	33.87059	33.05287	27.95566	31.36236	27.56293	33.17362	31.72264	28.29064	31.3843	34.92719	32.29123	31.89362	26.93347	27.44999	30.72031	29.04186	30.94014	30.84039	33.25946	32.06533	29.35837	29.84978	32.18567	32.26053	30.55432	31.63878	30.38338	30.86728	25.49842
alpha_rarefaction_193_4.txt	193	4	31.38205	30.70533	30.49471	31.68734	31.23939	27.80101	31.25714	32.87176	28.36983	33.03943	30.93498	29.67489	32.19067	28.7612	34.14885	30.44653	29.89437	30.7489	33.49561	30.4213	33.11	28.92638	30.33898	30.07311	33.69456	32.10274	28.29026	28.43	31.05678	27.9613
alpha_rarefaction_193_5.txt	193	5	31.84151	34.01579	31.14329	33.0474	34.01358	29.87955	28.61954	31.22269	28.84011	32.31247	31.19372	30.73483	31.38623	30.39135	33.34542	33.30198	28.97431	32.966	32.71382	31.32271	33.62147	31.15001	36.08446	28.97781	32.46099	31.74005	34.01338	30.87764	27.99923	25.71002
alpha_rarefaction_193_6.txt	193	6	32.06895	31.60451	29.8858	30.28521	30.31825	29.19621	32.31177	30.25054	31.2441	30.08117	33.79552	28.90833	34.095	27.22866	30.13153	32.8742	30.2531	32.84833	31.91145	31.38347	33.2789	29.62813	30.39484	30.92166	31.63819	33.48005	31.13235	33.01755	29.13724	25.01493
alpha_rarefaction_193_7.txt	193	7	33.642	32.09367	29.7418	31.93855	32.32763	27.7122	29.09866	29.58944	29.04746	32.11548	32.73476	32.5624	36.22159	27.41114	32.66397	31.59142	28.25017	33.69061	29.55078	29.52079	30.65911	31.17708	29.07845	32.02793	32.34062	34.89834	32.57935	30.92173	29.24455	31.80293
alpha_rarefaction_193_8.txt	193	8	33.36276	35.13796	30.80434	30.37189	28.09153	29.86905	33.51595	29.00698	29.16786	32.37303	32.36944	30.97721	33.87364	27.91046	29.76796	34.15586	26.26822	32.03744	31.62714	30.45043	33.26401	29.75864	31.76772	31.93304	34.8845	34.12941	29.4324	32.50664	28.71852	25.97699
alpha_rarefaction_193_9.txt	193	9	31.9135	36.74523	29.22975	30.8894	30.92407	29.49297	32.80018	30.53224	31.08779	33.04533	33.85458	31.02483	33.04429	29.5066	33.77519	30.61787	29.65548	34.50965	29.55069	29.40329	33.99662	30.30157	29.67345	34.06678	32.74356	34.51878	32.94525	31.54163	34.0153	23.81609
alpha_rarefaction_254_0.txt	254	0	36.28225	35.45483	31.84353	38.75352	35.15114	34.79011	37.61657	38.04843	34.26838	36.92569	34.30546	34.67625	40.43692	30.87557	35.38262	34.83097	35.98397	38.75316	37.39131	34.50953	37.76495	37.50139	40.01082	39.62628	34.18651	36.79623	40.16638	34.01317	34.25914	27.77551
alpha_rarefaction_254_1.txt	254	1	39.57292	40.65102	39.64165	37.78287	35.77961	34.80537	36.83458	34.07108	35.26141	37.66754	34.88205	38.64875	38.1373	34.1558	32.73691	36.46794	34.20808	36.04044	33.42682	33.30267	40.06666	32.79992	38.12309	35.96174	38.79568	36.94184	37.25609	35.02526	33.92174	31.99825
alpha_rarefaction_254_2.txt	254	2	36.27878	37.47684	35.82511	37.06114	36.79543	34.59161	36.70729	34.82932	33.6069	38.09388	35.76241	34.69798	36.10591	30.78598	34.30597	38.90313	34.7693	37.63782	36.32221	36.41351	36.64298	31.44638	36.8708	38.90647	39.14897	37.79937	36.62635	36.6512	35.63636	30.44434
alpha_rarefaction_254_3.txt	254	3	36.97498	38.5931	37.31799	38.87871	33.69652	36.30329	35.35144	35.78878	34.6891	40.46814	36.09099	35.83067	35.41014	30.33054	36.57212	37.60217	32.48422	36.2207	36.72075	36.68887	38.55527	31.27507	35.27677	40.84919	40.18873	39.16372	36.09109	35.5494	32.24437	26.69945
alpha_rarefaction_254_4.txt	254	4	38.33478	37.36043	35.7555	38.84021	33.0986	34.54007	36.38111	34.55324	32.27178	38.51204	38.13637	39.41413	36.88851	34.5375	37.80683	37.19428	32.72673	39.89928	36.05566	37.75818	37.77505	36.50319	33.11247	36.48678	37.65012	37.59913	37.84677	35.87561	36.27418	33.44372
alpha_rarefaction_254_5.txt	254	5	39.41736	36.15846	36.15747	36.29261	35.19852	36.71838	35.99587	36.57983	37.81977	36.23918	39.28374	38.02928	37.00595	33.67143	38.33629	38.96888	38.06421	39.11718	32.20419	37.08486	37.23869	35.35512	37.04764	38.21473	40.36617	38.26599	33.62862	37.32435	33.28845	29.06543
alpha_rarefaction_254_6.txt	254	6	37.50561	37.65702	37.22796	34.39438	34.60159	35.78737	36.38052	32.6143	34.52131	36.85476	38.03228	35.98471	36.72385	33.38671	37.76966	38.79695	33.88916	35.33118	36.5799	37.12162	36.63705	33.60552	34.3701	40.46695	40.74511	39.1908	34.78304	31.16666	33.19127	33.24065
alpha_rarefaction_254_7.txt	254	7	38.84665	40.50937	37.88801	35.89133	34.84676	37.38089	35.69849	35.0417	34.9677	36.73233	36.40414	35.82716	39.06939	33.39129	39.93177	37.13828	36.54035	39.45158	35.44927	39.17581	37.4858	33.32833	35.29017	35.59534	40.09144	38.20976	36.32564	36.06836	37.53481	29.23109
alpha_rarefaction_254_8.txt	254	8	37.40009	39.56261	34.10622	36.97138	37.64638	35.57141	38.35558	34.16781	37.20069	37.95216	39.91358	33.63106	37.85835	34.85757	36.49921	36.73252	33.68469	35.95154	35.2816	35.16691	37.07804	33.10879	39.19298	36.59958	38.99175	38.0033	35.40358	32.30091	36.3185	29.96238
alpha_rarefaction_254_9.txt	254	9	40.25274	38.55899	37.3251	36.43032	35.74909	36.35746	36.06328	36.88494	36.23253	37.14648	39.02601	35.69255	36.45792	32.29079	33.28295	40.77991	36.43105	38.01858	36.9405	39.49248	40.29108	34.17972	33.65453	36.87722	36.79652	36.38715	34.65879	35.5072	37.62753	28.04202
alpha_rarefaction_315_0.txt	315	0	43.73192	44.18053	38.18449	39.37519	41.00794	39.13147	40.68768	43.20175	41.31724	42.08923	40.41668	41.92871	40.74247	33.41063	39.3481	42.07416	38.94164	41.57986	41.20584	39.88576	42.80744	40.04649	38.80888	40.79032	41.64527	41.55658	41.09458	40.60796	38.91366	37.98164
