	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_315_2.txt	315	2	1323.4	913.517241379	732.5	806.303030303	697.823529412	795.333333333	879.538461538	772.0	784.1	884.84	696.0	1122.65217391	930.37037037	676.033333333	1081.95454545	1037.66666667	1052.65	741.903225806	820.666666667	631.428571429	852.6	682.5625	1177.83333333	1035.66666667	980.538461538	1142.31578947	666.636363636	855.451612903	819.666666667	550.2
alpha_rarefaction_315_3.txt	315	3	716.441176471	706.256410256	883.037037037	884.84	841.615384615	920.5	561.622222222	710.027027027	715.933333333	759.0	765.885714286	947.043478261	1135.80769231	1042.05882353	1085.25	723.526315789	574.428571429	684.894736842	968.0	834.0	945.615384615	762.75	762.0	690.027027027	1069.55555556	755.033333333	910.045454545	822.076923077	669.5	523.7
alpha_rarefaction_315_4.txt	315	4	823.441176471	786.0	941.64	790.37037037	753.033333333	617.03030303	491.142857143	651.916666667	563.108108108	789.1875	943.64	969.681818182	881.035714286	771.772727273	1198.58823529	853.285714286	1181.0	702.78125	812.037037037	794.09375	825.03125	591.833333333	1007.24	1354.65217391	603.275	766.0	838.730769231	722.636363636	937.230769231	594.444444444
alpha_rarefaction_315_5.txt	315	5	1137.2	741.029411765	703.6	745.757575758	1163.55555556	774.12	662.0	757.483870968	1017.5	742.756756757	992.115384615	1005.0	897.965517241	907.913043478	984.130434783	750.677419355	736.107142857	734.657894737	963.44	649.451612903	1084.0	725.076923077	699.823529412	689.527777778	951.833333333	765.206896552	678.085714286	993.888888889	694.833333333	698.105263158
alpha_rarefaction_315_6.txt	315	6	954.714285714	640.11627907	618.384615385	657.774193548	742.037037037	874.896551724	610.902439024	773.44	711.344827586	796.454545455	897.714285714	677.5625	856.0	717.0	964.5	811.916666667	689.965517241	906.037037037	834.730769231	929.260869565	1095.77272727	664.0	1080.95454545	1020.12	633.75	770.0	636.5	665.583333333	665.90625	624.24
alpha_rarefaction_315_7.txt	315	7	1048.27586207	813.181818182	633.783783784	1095.55	814.75	859.5	555.0	1124.79166667	686.9375	706.25	624.926829268	652.12195122	1134.5	744.214285714	1053.14285714	958.857142857	994.8	922.7	987.041666667	880.615384615	1031.25	599.53125	871.6	999.517241379	1330.13636364	1092.56521739	740.777777778	848.2	796.5	767.333333333
alpha_rarefaction_315_8.txt	315	8	851.161290323	853.538461538	869.129032258	785.607142857	750.538461538	795.884615385	663.5	645.171428571	815.933333333	905.037037037	1020.83333333	1018.12	681.5	987.142857143	793.965517241	833.09375	1102.9	772.363636364	703.363636364	903.037037037	861.785714286	667.37037037	1149.33333333	1401.14285714	903.724137931	937.230769231	582.394736842	814.037037037	747.677419355	509.7
alpha_rarefaction_315_9.txt	315	9	1041.25	737.567567568	633.263157895	681.894736842	850.391304348	813.307692308	619.333333333	856.137931034	677.090909091	790.636363636	881.40625	853.375	1123.79166667	782.043478261	1226.52631579	801.228571429	1198.3	825.03125	1143.8	940.64	833.0	896.884615385	1025.0	899.7	685.171428571	672.896551724	683.5	1000.4	704.037037037	796.772727273
alpha_rarefaction_376_0.txt	376	0	1370.03333333	728.357142857	776.447368421	865.285714286	1132.57692308	868.65625	724.526315789	721.341463415	1071.11538462	1101.4516129	1205.0	1227.6	1272.35714286	728.181818182	947.2	969.676470588	949.535714286	689.404255319	1060.5	1550.86956522	955.451612903	879.5	811.135135135	1011.88571429	1249.0	753.756756757	725.097560976	787.024390244	731.27027027	781.75
alpha_rarefaction_376_1.txt	376	1	857.80952381	861.219512195	756.763157895	711.976744186	816.916666667	921.823529412	720.255319149	1110.53333333	1102.03846154	966.9375	1030.09090909	933.363636364	1131.51612903	657.171428571	860.46875	868.157894737	983.0	851.923076923	856.459459459	975.677419355	861.871794872	808.777777778	888.756756757	860.5	1048.6	666.727272727	791.277777778	1202.44	773.885714286	527.025641026
alpha_rarefaction_376_2.txt	376	2	1481.53846154	891.277777778	1479.5	1229.10344828	867.181818182	872.0	696.926829268	885.731707317	1115.89655172	988.757575758	810.41025641	961.833333333	1038.03225806	657.692307692	980.529411765	945.433333333	1003.0	890.088235294	840.09375	843.0	1440.04347826	876.0	1257.88888889	1065.88571429	1018.36363636	869.171428571	1070.35714286	1030.85714286	747.243902439	649.090909091
